% Model:              car_63_linear_30T0.mph
% Version:            COMSOL 6.3.0.231
% Date:               Aug 27 2024, 12:59
% Table:              Evaluation Group - Carpet Admittance {eg2} - 
% freq (Hz)                                       real Y_carpet (m^2*s/kg), Point: 1                imag Y_carpet (m^2*s/kg), Point: 1
100                                               2.7917389460000304E-6                             2.9131542362214218E-5
125                                               4.018621087785568E-6                              3.597874238625272E-5
150                                               5.370946245193721E-6                              4.2657813601354516E-5
175                                               6.825108005321056E-6                              4.917733683697845E-5
200                                               8.362419690844265E-6                              5.554597898970778E-5
225                                               9.96782292526649E-6                               6.177219360722876E-5
250                                               1.162902367256458E-5                              6.786407121376172E-5
275                                               1.3335883240874184E-5                             7.38292690197986E-5
300                                               1.5079972947478725E-5                             7.96749848465746E-5
325                                               1.685423950458365E-5                              8.540795617085898E-5
350                                               1.8652748287128712E-5                             9.103447336847366E-5
375                                               2.0470483044441918E-5                             9.656040070251073E-5
400                                               2.2303187494310964E-5                             1.0199120117047303E-4
425                                               2.4147238593522507E-5                             1.073319628544015E-4
450                                               2.5999544147792824E-5                             1.1258742535248221E-4
475                                               2.785745937504273E-5                              1.1776200545122762E-4
500                                               2.9718718398300577E-5                             1.2285982156185084E-4
525                                               3.158137761707047E-5                              1.2788471667426094E-4
550                                               3.344376861346341E-5                              1.3284027972658904E-4
575                                               3.5304458772396245E-5                             1.3772986537799152E-4
600                                               3.7162218187279544E-5                             1.4255661222704142E-4
625                                               3.9015991720250786E-5                             1.473234595497624E-4
650                                               4.086487531441758E-5                              1.5203316264832876E-4
675                                               4.2708095832592145E-5                             1.566883069089357E-4
700                                               4.454499383539428E-5                              1.612913206688054E-4
725                                               4.637500882069328E-5                              1.6584448699002508E-4
750                                               4.8197666532968236E-5                             1.7034995443342984E-4
775                                               5.001256802040685E-5                              1.7480974692003822E-4
800                                               5.181938017325887E-5                              1.7922577276127628E-4
825                                               5.36178275220185E-5                               1.835998329328026E-4
850                                               5.540768511066544E-5                              1.8793362866043278E-4
875                                               5.718877229016219E-5                              1.9222876838062653E-4
900                                               5.8960947302016586E-5                             1.9648677413232246E-4
925                                               6.072410254203305E-5                              2.0070908743163447E-4
950                                               6.247816041120067E-5                              2.048970746760761E-4
975                                               6.422306967466385E-5                              2.0905203212054924E-4
1000                                              6.59588022614125E-5                               2.1317519046329319E-4
1025                                              6.768535044711584E-5                              2.172677190763428E-4
1050                                              6.94027243707682E-5                               2.2133072991173177E-4
1075                                              7.111094984274791E-5                              2.2536528111169563E-4
1100                                              7.281006640777957E-5                              2.2937238034843668E-4
1125                                              7.450012563126728E-5                              2.3335298791659368E-4
1150                                              7.618118958171466E-5                              2.3730801959937178E-4
1175                                              7.785332948556592E-5                              2.4123834932732933E-4
1200                                              7.951662453390162E-5                              2.45144811647049E-4
1225                                              8.117116082307363E-5                              2.490282040153284E-4
1250                                              8.281703041365428E-5                              2.528892889330948E-4
1275                                              8.445433049403318E-5                              2.567287959319565E-4
1300                                              8.60831626367003E-5                               2.6054742342513824E-4
1325                                              8.770363213671795E-5                              2.6434584043350407E-4
1350                                              8.931584742316035E-5                              2.681246881964154E-4
1375                                              9.091991953540652E-5                              2.718845816763246E-4
1400                                              9.251596165713278E-5                              2.7562611096522725E-4
1425                                              9.410408870169282E-5                              2.7934984260039546E-4
1450                                              9.568441694330445E-5                              2.830563207961859E-4
1475                                              9.725706368910716E-5                              2.867460685981405E-4
1500                                              9.882214698770969E-5                              2.904195889650718E-4
