% Model:              car_63_linear_30T0.mph
% Version:            COMSOL 6.3.0.231
% Date:               Aug 27 2024, 13:00
% Table:              Evaluation Group - Roof Admittance {eg3} - 
% freq (Hz)                                       real Y_roof (m^2*s/kg), Point: 2                  imag Y_roof (m^2*s/kg), Point: 2
100                                               2.4383752199495407E-6                             4.171827105294112E-5
125                                               3.617529132011302E-6                              5.186585695038447E-5
150                                               4.960108813526067E-6                              6.188513669350837E-5
175                                               6.447483686838807E-6                              7.177721167791813E-5
200                                               8.064182598501108E-6                              8.15440496210364E-5
225                                               9.797075536521307E-6                              9.118813031313334E-5
250                                               1.1634848441566033E-5                             1.0071224271489946E-4
275                                               1.3567642108577E-5                                1.101193586680991E-4
300                                               1.558679090737907E-5                              1.1941254983214043E-4
325                                               1.7684626233605207E-5                             1.2859493102922076E-4
350                                               1.9854324113758656E-5                             1.3766962070306082E-4
375                                               2.2089784182241296E-5                             1.4663971296541403E-4
400                                               2.4385531703370424E-5                             1.5550825775053302E-4
425                                               2.6736636993581718E-5                             1.6427824678384874E-4
450                                               2.9138648286196445E-5                             1.7295260379706506E-4
475                                               3.158753518315321E-5                              1.8153417788659455E-4
500                                               3.407964058177779E-5                              1.9002573922105375E-4
525                                               3.661163948102716E-5                              1.9842997651514023E-4
550                                               3.9180503439265015E-5                             2.067494958359906E-4
575                                               4.178346972318327E-5                              2.1498682041499006E-4
600                                               4.441801438607992E-5                              2.2314439121614446E-4
625                                               4.7081828663674916E-5                             2.3122456807014825E-4
650                                               4.9772798190685175E-5                             2.3922963122688986E-4
675                                               5.2488984630837614E-5                             2.4716178321228683E-4
700                                               5.5228609383440593E-5                             2.550231509007557E-4
725                                               5.799003908572501E-5                              2.628157877342687E-4
750                                               6.077177267526249E-5                              2.705416760342227E-4
775                                               6.357242981338915E-5                              2.7820272936429917E-4
800                                               6.639074050050769E-5                              2.85800794911878E-4
825                                               6.92255357388396E-5                               2.9333765586297056E-4
850                                               7.207573911869828E-5                              3.0081503375149244E-4
875                                               7.494035922147247E-5                              3.082345907683301E-4
900                                               7.78184827468908E-5                               3.15597932019342E-4
925                                               8.070926828428887E-5                              3.22906607724351E-4
950                                               8.361194065789437E-5                              3.3016211535150775E-4
975                                               8.65257857849463E-5                               3.3736590168324137E-4
1000                                              8.945014599296966E-5                              3.4451936481146825E-4
1025                                              9.238441574899703E-5                              3.5162385606087813E-4
1050                                              9.532803775909986E-5                              3.586806818400095E-4
1075                                              9.828049940141168E-5                              3.6569110542053614E-4
1100                                              1.0124132946001595E-4                             3.726563486457196E-4
1125                                              1.0421009513071614E-4                             3.795775935693969E-4
1150                                              1.0718639927288499E-4                             3.8645598402718267E-4
1175                                              1.1016987788438396E-4                             3.9329262714178973E-4
1200                                              1.1316019777898425E-4                             4.000885947645306E-4
1225                                              1.1615705444787662E-4                             4.0684492485516837E-4
1250                                              1.191601700887549E-4                              4.135626228023515E-4
1275                                              1.2216929178763495E-4                             4.202426626868862E-4
1300                                              1.2518418984006074E-4                             4.2688598849012206E-4
1325                                              1.2820465619965885E-4                             4.334935152496844E-4
1350                                              1.3123050304318626E-4                             4.4006613016477455E-4
1375                                              1.3426156144225293E-4                             4.4660469365319664E-4
1400                                              1.3729768013283277E-4                             4.5311004036222393E-4
1425                                              1.4033872437451298E-4                             4.5958298013534473E-4
1450                                              1.4338457489217313E-4                             4.6602429893687894E-4
1475                                              1.4643512689345488E-4                             4.7243475973635817E-4
1500                                              1.494902891559851E-4                              4.7881510335451635E-4
