% Model:              car_cabin_acoustics_transient_V1.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 26 2024, 13:24
% Table:              Evaluation Group - Seat Admittance - 
% freq (Hz)                                       real Y_seat (m^2*s/kg), Point: 1                  imag Y_seat (m^2*s/kg), Point: 1
0                                                 0.5E-4	                                    1E-4
25                                                1.0218653476654608E-4                             1.5E-4
50                                                1.1218653476654608E-4                             2.5E-4
100                                               1.2218653476654608E-4                             4.25E-4
150                                               1.3218653476654608E-4                             6.0E-4
175                                               1.5230845531272348E-4                             6.923111605123792E-4
200                                               1.7845919019207054E-4                             7.648251008231595E-4
225                                               2.1147976541300366E-4                             7.845217104030783E-4
250                                               2.482181321983511E-4                              8.030586629946653E-4
275                                               2.889065006207692E-4                              8.198697990589395E-4
300                                               3.33709894566059E-4                               8.342747364151475E-4
325                                               3.706156030628098E-4                              8.587434705113886E-4
350                                               4.120627043607663E-4                              8.829915093444992E-4
375                                               4.5860286370275023E-4                             9.065405445286922E-4
400                                               5.108131303578351E-4                              9.287511461051547E-4
425                                               5.044687095694941E-4                              9.385464364083609E-4
450                                               4.978670401536746E-4                              9.483181717212848E-4
475                                               4.910049061242967E-4                              9.580583534132619E-4
500                                               4.838793471207855E-4                              9.67758694241571E-4
525                                               5.281638549597157E-4                              0.0010156997210763762
550                                               5.796789152140558E-4                              0.0010678295806574715
575                                               6.400978134954975E-4                              0.0011244961588434414
600                                               7.11587275177626E-4                               0.0011859787919627097
625                                               7.476247423325443E-4                              0.0012045065293135435
650                                               7.860855819651753E-4                              0.0012227997941680502
675                                               8.271441831124539E-4                              0.001240716274668681
700                                               8.70982824817414E-4                               0.0012580863025140425
725                                               9.341300137466901E-4                              0.0013077820192453663
750                                               0.0010056172250676476                             0.0013605409515621112
775                                               0.0010869992140902604                             0.001416392915329733
800                                               0.0011801935295628918                             0.0014752419119536144
825                                               0.0014663010518811686                             0.0014663010518811681
850                                               0.0017960587120203829                             0.001373456662133234
875                                               0.002135659161314943                              0.0011593578304281117
900                                               0.002419396735603928                              8.064655785346424E-4
925                                               0.0025300880895204477                             6.325220223801118E-4
950                                               0.0026155640384907326                             4.3592733974845535E-4
975                                               0.002669679156528472                              2.224732630440393E-4
1000                                              0.00265	                                     0
1025                                              0.00238958605804808                               -1.1829633950733069E-4
1050                                              0.0021430910660205625                             -1.9134741660897873E-4
1075                                              0.001938164637744452                              -2.3636154118834783E-4
1100                                              0.0017661754334872865                             -2.6360827365481894E-4
1125                                              0.0016203811855084044                             -2.793760664669662E-4
1150                                              0.0014955852383666697                             -2.8761254583974414E-4
1175                                              0.0013877833854704128                             -2.9085280533811046E-4
1200                                              0.001293872788539536                              -2.907579300088845E-4
1225                                              0.0012114289806314375                             -2.884354715789137E-4
1250                                              0.0011385396402842014                             -2.8463491007105034E-4
1275                                              0.0011362226372592023                             -2.6856171426126597E-4
1300                                              0.0011335231354533044                             -2.5271991216663844E-4
1325                                              0.0011304561489693333                             -2.3712007027161628E-4
1350                                              0.0011270368780675673                             -2.217717727810375E-4
1375                                              0.0011232806436195036                             -2.0668363842598863E-4
1400                                              0.0011192028250877274                             -1.918633414436104E-4
1425                                              0.0011148188022343738                             -1.7731763626090038E-4
1450                                              0.0011101439007063306                             -1.630523854162423E-4
1475                                              0.0011051933415944515                             -1.4907259026157715E-4
1500                                              0.0010999821950169407                             -1.3538242400208496E-4
