% freq (Hz)              real(Y), 5[cm] (m^2*s/kg)			 imag(Y), 5[cm] (m^2*s/kg)			 1 real(Y), 15[cm] (m^2*s/kg)		  4 imag(Y), 15[cm] (m^2*s/kg)
50                       3.832490072574194E-6                1.535039105782334E-4                5.4481724576485985E-5                4.5872347437103835E-4
53                       4.306447115673461E-6                1.627179265879655E-4                6.129664933591027E-5                 4.8600704831388913E-4
56                       4.8080767047052286E-6               1.7193261134985027E-4               6.852764369461274E-5                 5.132444247715138E-4
60                       5.519981524055238E-6                1.8421996731487992E-4               7.882160899055912E-5                 5.494823988427075E-4
63                       6.086224515347779E-6                1.9343636901535558E-4               8.703582018409864E-5                 5.765966925831312E-4
67                       6.8843250728665196E-6               2.0572616213029225E-4               9.865295065286442E-5                 6.126552501340352E-4
71                       7.73172353738493E-6                 2.1801748251615806E-4               1.110377041815511E-4                 6.485964963815954E-4
75                       8.628454203267451E-6                2.3031042975078434E-4               1.2419891631251638E-4                6.84408696931427E-4
80                       9.818797035526613E-6                2.4567905556831937E-4               1.4175630024615388E-4                7.289732270712129E-4
85                       1.1086355894386456E-5               2.6105058186070635E-4               1.6055970883965245E-4                7.732898412702255E-4
90                       1.243121393006844E-5                2.764252130938155E-4                1.806281739331983E-4                 8.173296251059804E-4
95                       1.385346067309468E-5                2.9180315781465786E-4               2.0198112557911831E-4                8.610611482697098E-4
100                      1.5353192267390787E-5               3.071846288523047E-4                2.2463822392931377E-4                9.044503047581028E-4
106                      1.7255295710129445E-5               3.2564735512809987E-4               2.535759481940605E-4                 9.56013149943706E-4
112                      1.92693176052217E-5                 3.441158568698594E-4                2.844536967427814E-4                 0.0010069601027512605
118                      2.1395464952037027E-5               3.6259052859800113E-4               3.173042352887265E-4                 0.0010572150737469493
125                      2.4017982927926254E-5               3.841526514573771E-4                3.581647467789897E-4                 0.0011148601807226962
132                      2.6793804013291646E-5               4.057243862360574E-4                4.017982856354886E-4                 0.0011713059922417357
140                      3.015442489233003E-5                4.303904444811458E-4                4.551110239073209E-4                 0.0012341435603396365
150                      3.463858271778567E-5                4.6124353818192563E-4               5.269858250758795E-4                 0.0013098002050988794
160                      3.9438981368568275E-5               4.921214393464103E-4                6.047200712882039E-4                 0.0013817203848862111
170                      4.455724860020786E-5                5.230263904694328E-4                6.883055033928523E-4                 0.001449285526190577
180                      4.999518982256129E-5                5.539607343003327E-4                7.776604321674181E-4                 0.0015118217222452165
190                      5.57548010751908E-5                 5.849269159790176E-4                8.726131172973946E-4                 0.0015686069421726456
200                      6.183828261627528E-5                6.159274844771481E-4                9.728848783507922E-4                 0.00161888236817281
212                      6.956939095917227E-5                6.531773008007671E-4                0.00109965688810915                  0.0016695220553156833
224                      7.777499320289824E-5                6.904852445620799E-4                0.001232544921591013                 0.001708323443172433
236                      8.646023661063928E-5                7.278563140024571E-4                0.0013702818165554423                0.0017340126047535203
250                      9.720688298618523E-5                7.71542638314021E-4                 0.0015349707859725564                0.0017459198531154878
265                      1.0946576370909412E-4               8.18462433919055E-4                 0.001712878577784614                 0.001735635512758295
280                      1.2250863195596893E-4               8.655099572517003E-4                0.0018880564003411543                0.001700670766411405
300                      1.4114607737523088E-4               9.284585648256767E-4                0.002109254990658592                 0.0016161495431598226
315                      1.5608259717047435E-4               9.758493856077316E-4                0.002259806974983571                 0.0015264005106684778
335                      1.7731449424830749E-4               0.0010392995878615544               0.0024322129765234827                0.0013772526024149541
355                      2.001012402798453E-4                0.0011030768813582363               0.002565688929121011                 0.001203451427208052
375                      2.2450488711270523E-4               0.0011672111333200222               0.0026566202543224734                0.001016376275388798
400                      2.5739140560719935E-4               0.001247926066431032                0.0027112898313198237                7.810949731105674E-4
425                      2.930729833117062E-4                0.0013293012007754438               0.0027079755610342543                5.615100398574193E-4
450                      3.317321881354588E-4                0.001411388804306901                0.0026592069749124853                3.7033868238271224E-4
475                      3.735787398211536E-4                0.001494234818362166                0.0025788337226430023                2.1395844469504415E-4
500                      4.188521158494239E-4                0.0015778759020404522               0.0024795174666490676                9.362610805338746E-5
530                      4.780889439644059E-4                0.0016793270885417711               0.002349541689769915                 -6.305569689736317E-6
560                      5.431914600711313E-4                0.00178196428281921                 0.002219477337219465                 -6.42715690478595E-5
600                      6.401996417792294E-4                0.0019205790523896236               0.0020589757329715686                -8.974337394452512E-5
630                      7.215435628040481E-4                0.0020257094882346147               0.001953432191574677                 -7.929401214853789E-5
670                      8.430336340777886E-4                0.0021670128891686695               0.0018355258606460373                -3.715008633401661E-5
710                      9.81495788919046E-4                 0.002308778608098501                0.0017442382280766027                2.7505514478734376E-5
750                      0.00113949491963692                 0.00244960303580984                 0.0016787529165936544                1.0677021242960923E-4
800                      0.0013688327013122318               0.002621000182852593                0.0016312081248547057                2.1766462076111442E-4
850                      0.0016391296689547176               0.002781263852892096                0.0016195566898976708                3.3376978674336694E-4
900                      0.001956207928297361                0.0029209268084542193               0.0016418750221128412                4.4795702166148925E-4
950                      0.0023245485171482037               0.0030264298665133253               0.0016964772896652866                5.533130948793035E-4
1000                     0.0027452194240187235               0.003079473617359508                0.0017811876958233452                6.423193167483237E-4
1060                     0.0033107350285780453               0.0030416245025446753               0.001917040778587306                 7.156709301034291E-4
1120                     0.0039134178851122775               0.002852722478878332                0.0020781180828046697                7.384180320606084E-4
1180                     0.004495140538045668                0.002480157024368942                0.002243197845418693                 6.993938343779465E-4
1250                     0.005037992429144028                0.0018149343085563758               0.0024027277942212377                5.762402196234084E-4
1320                     0.005317489389852173                9.829423857386805E-4                0.002486451233361415                 3.967504393206961E-4
1400                     0.005255744089961954                2.0682719722966855E-5               0.002469022291558612                 1.8705443051587265E-4
1500                     0.004745052052387648                -9.151737408381589E-4               0.0023238142971646726                1.2776129734958209E-5
1600                     0.004045314587386445                -0.0014436320544232825              0.0021408827241550057                -2.7884464822521188E-5
1700                     0.0033767025608549585               -0.0016472815979504403              0.0019972673621339895                3.4640892736700706E-5
1800                     0.002821233700487278                -0.001652470224084433               0.001925004865417443                 1.518680506230784E-4
1900                     0.0023853352399448536               -0.001552221267219231               0.0019300666555318944                2.8102987396018436E-4
2000                     0.002050277087190203                -0.0014011872716500646              0.0020047483377797605                3.853883267559615E-4
2120                     0.001750622326979121                -0.0011927906444598193              0.002154576708381535                 4.3269819624648935E-4
2240                     0.0015336367639309878               -9.76608068363455E-4                0.002301554807720039                 3.67652214654472E-4
2360                     0.0013771877780944528               -7.623765244132425E-4               0.002363102829329726                 2.2362079414511062E-4
2500                     0.0012516001727430701               -5.189802444261747E-4               0.0022960564621546044                7.465064920268747E-5
2650                     0.0011693266906315587               -2.6617397554187035E-4              0.00215326635361193                  4.116222280081326E-5
2800                     0.0011312140743621854               -1.958437418295919E-5               0.00205808473002644                  1.2175295884208515E-4
3000                     0.001142201046635753                3.0392144038690535E-4               0.002085451477597136                 2.680079751709752E-4
3150                     0.0011979901342930293               5.448835020639888E-4                0.002192588453306402                 3.080762948547537E-4
3350                     0.0013467786637696131               8.628502552680917E-4                0.0023078128467321447                2.1648800665367818E-4
3550                     0.0016044938330306497               0.0011635199712909479               0.002267981414886889                 9.090682402794729E-5
3750                     0.0020053901329728624               0.001403263678983687                0.002158955040510934                 8.804030782180487E-5
4000                     0.002726013418917572                0.0014589572272591931               0.00213529050806706                  1.9994317694848132E-4
4250                     0.003477675892567561                9.728794390681355E-4                0.002243096481972773                 2.3292755201759032E-4
4500                     0.0036893157936435618               2.075305448543277E-5                0.0022875439491705737                1.3579452804283418E-4
4750                     0.0032127516373398335               -7.182552136397197E-4               0.002210448990449159                 9.2626672225936E-5
5000                     0.002555641257583511                -9.309913597470069E-4               0.0021732970047356292                1.5732380272776402E-4
