% freq (Hz)                                       real(1/acpr.K_eff) (1/Pa)			                imag(1/acpr.K_eff) (1/Pa)
50                                                9.76283689276116E-6                               -1.3093794622586138E-7
53                                                9.761888597411393E-6                              -1.3873389885392687E-7
56                                                9.760885980035757E-6                              -1.4651937139688482E-7
60                                                9.759464924172866E-6                              -1.568827043498769E-7
63                                                9.758336170305574E-6                              -1.6464148919041727E-7
67                                                9.756747545407431E-6                              -1.7496716751044985E-7
71                                                9.755063753311516E-6                              -1.852694833232371E-7
75                                                9.753285251731821E-6                              -1.9554710750137123E-7
80                                                9.750929676553583E-6                              -2.083574083879253E-7
85                                                9.748427868167143E-6                              -2.211245219047509E-7
90                                                9.745780879715135E-6                              -2.3384593010864839E-7
95                                                9.742989821332946E-6                              -2.4651914697090155E-7
100                                               9.740055858996488E-6                              -2.5914171995578157E-7
106                                               9.736348193369382E-6                              -2.7421855631556E-7
112                                               9.73243871699888E-6                               -2.8921487839876484E-7
118                                               9.72832974778532E-6                               -3.041266576300122E-7
125                                               9.723287050383068E-6                              -3.2141162103717206E-7
132                                               9.717980140304383E-6                              -3.385700268807695E-7
140                                               9.711596966368759E-6                              -3.5801703716097747E-7
150                                               9.70315041194074E-6                               -3.820693341973697E-7
160                                               9.694196821948661E-6                              -4.0582163422167605E-7
170                                               9.684750181802851E-6                              -4.292585621902392E-7
180                                               9.674825044291322E-6                              -4.5236554041342946E-7
190                                               9.664436476471439E-6                              -4.7512881057714005E-7
200                                               9.653600005931872E-6                              -4.975354517706205E-7
212                                               9.640027470302025E-6                              -5.23935737760669E-7
224                                               9.62586111229903E-6                               -5.497859266073091E-7
236                                               9.611129723291821E-6                              -5.750686023331148E-7
250                                               9.593268018818788E-6                              -6.038270570197594E-7
265                                               9.573374683635416E-6                              -6.337344231334928E-7
280                                               9.552756482325835E-6                              -6.626833838319663E-7
300                                               9.524238869528802E-6                              -6.997602121952433E-7
315                                               9.502155936017796E-6                              -7.264090751371116E-7
335                                               9.471894753259802E-6                              -7.603790857237368E-7
355                                               9.440821530789956E-6                              -7.925551194138935E-7
375                                               9.409065558432565E-6                              -8.229376123497139E-7
400                                               9.368599473831187E-6                              -8.584105549412769E-7
425                                               9.327491018633617E-6                              -8.911388185559493E-7
450                                               9.285955208536551E-6                              -9.211823256649669E-7
475                                               9.244190424942758E-6                              -9.486173708775943E-7
500                                               9.202377715090673E-6                              -9.735336909424655E-7
530                                               9.152368101252441E-6                              -1.000250514381427E-6
560                                               9.10277318011285E-6                               -1.023673765259912E-6
600                                               9.037656937807572E-6                              -1.0501270144748442E-6
630                                               8.98980498000195E-6                               -1.0666503910224574E-6
670                                               8.927582158898786E-6                              -1.0846523742200928E-6
710                                               8.86739496927025E-6                               -1.0984900611177382E-6
750                                               8.809424126871181E-6                              -1.108625560565856E-6
800                                               8.740249757445017E-6                              -1.1167495858912138E-6
850                                               8.67483042483632E-6                               -1.120549728912107E-6
900                                               8.613179689477706E-6                              -1.120726516745348E-6
950                                               8.555236626548603E-6                              -1.1178978949681397E-6
1000                                              8.500887016322702E-6                              -1.11260233145004E-6
1060                                              8.440197218733818E-6                              -1.1036404861374675E-6
1120                                              8.384162476265668E-6                              -1.0924678624320855E-6
1180                                              8.332457996710948E-6                              -1.0796394983117112E-6
1250                                              8.27716836835486E-6                               -1.0631777717723716E-6
1320                                              8.226809727480842E-6                              -1.0456426296907845E-6
1400                                              8.174672117414896E-6                              -1.0248462057357797E-6
1500                                              8.116650523521613E-6                              -9.984159750407663E-7
1600                                              8.065496989024714E-6                              -9.721150898457802E-7
1700                                              8.020210633618003E-6                              -9.463797180520067E-7
1800                                              7.979939373450419E-6                              -9.21481969510885E-7
1900                                              7.943962654713093E-6                              -8.975806705349431E-7
2000                                              7.911673221612757E-6                              -8.747572705780463E-7
2120                                              7.877079216552456E-6                              -8.488306795996078E-7
2240                                              7.846330585070327E-6                              -8.244840324187468E-7
2360                                              7.81883000229431E-6                               -8.016620521138005E-7
2500                                              7.790204097439917E-6                              -7.768575272936571E-7
2650                                              7.762993407801853E-6                              -7.523011524821157E-7
2800                                              7.738763446093319E-6                              -7.296549010204228E-7
3000                                              7.710264618420226E-6                              -7.021242028739268E-7
3150                                              7.691257252621626E-6                              -6.832605223710631E-7
3350                                              7.668509673292213E-6                              -6.602058856359335E-7
3550                                              7.64823189188241E-6                               -6.392647221295023E-7
3750                                              7.629998249247135E-6                              -6.20168647913233E-7
4000                                              7.6095807291893015E-6                             -5.985463081577122E-7
4250                                              7.5913402292490935E-6                             -5.790733196753095E-7
4500                                              7.5748954243703935E-6                             -5.614396462119296E-7
4750                                              7.5599518516871305E-6                             -5.453894566784684E-7
5000                                              7.546278614024375E-6                              -5.307106854017156E-7
