% freq (Hz)                                       real(acpr.rho_c) (kg/m^3)			                imag(acpr.rho_c) (kg/m^3)
50                                                1.797652993442282                                 -14.335907517233464
53                                                1.797592750056724                                 -13.525832681193593
56                                                1.7975290445192655                                -12.802627564045942
60                                                1.79743873199814                                  -11.950962768585317
63                                                1.7973669796591811                                -11.383264744081632
67                                                1.7972659695137645                                -10.705514560835562
71                                                1.7971588765203477                                -10.104236253807601
75                                                1.797045724143641                                 -9.56719404856349
80                                                1.796895800434744                                 -8.971543943141606
85                                                1.7967364986226468                                -8.446106916741941
90                                                1.7965678726348786                                -7.9791802633758495
95                                                1.7963899792911429                                -7.5615249775140185
100                                               1.7962028782405925                                -7.185749829463194
106                                               1.795966290875453                                 -6.781756282517351
112                                               1.7957166473921804                                -6.421193517207535
118                                               1.7954540661690084                                -6.097435614271535
125                                               1.7951315347383316                                -5.759163527492127
132                                               1.7947917670144407                                -5.45693354121842
140                                               1.794382630145707                                 -5.148724074279922
150                                               1.793840452173386                                 -4.809954635313402
160                                               1.793264735932257                                 -4.513799690550457
170                                               1.7926561919683057                                -4.2527353099837155
180                                               1.7920155588288176                                -4.020909399309902
190                                               1.791343600338061                                 -3.8137017546382883
200                                               1.7906411028671132                                -3.6274161008522334
212                                               1.7897589308140236                                -3.4273169001313755
224                                               1.7888353696501778                                -3.2489051783384033
236                                               1.7878718735465484                                -3.088867071763618
250                                               1.786699292570644                                 -2.9218411739111207
265                                               1.7853875645434298                                -2.762761159191282
280                                               1.7840214104234748                                -2.621002221547247
300                                               1.7821203013295654                                -2.454427742179397
315                                               1.7806385961819393                                -2.3436424985471835
335                                               1.7785940126652875                                -2.211677494293093
355                                               1.776476796789883                                 -2.094905743489785
375                                               1.7742935485978109                                -1.990879289917829
400                                               1.771481346643906                                 -1.8758329713161004
425                                               1.7685878963051667                                -1.7746698428833694
450                                               1.7656245061956286                                -1.6850505890357341
475                                               1.762601791482851                                 -1.6051294240607046
500                                               1.7595296482412175                                -1.533430782491564
530                                               1.755790688497289                                 -1.4565816927045865
560                                               1.7520081872390194                                -1.3882087912256624
600                                               1.746919415650054                                 -1.3079901618391674
630                                               1.743083542484788                                 -1.254704360604293
670                                               1.737962149271371                                 -1.1912871893185706
710                                               1.7328512067887483                                -1.135206121982433
750                                               1.7277675956999874                                -1.0852565805738794
800                                               1.721472497667939                                 -1.0300024884115273
850                                               1.7152633735583123                                -0.9813773508563596
900                                               1.7091566965750016                                -0.93824392914147
950                                               1.7031646608478745                                -0.8997091577116215
1000                                              1.697295978628368                                 -0.8650624522221549
1060                                              1.6904245341443815                                -0.8278209346550616
1120                                              1.6837451159881744                                -0.7945694005134504
1180                                              1.6772601934337763                                -0.7646820976407409
1250                                              1.6699399082998747                                -0.7334020681535506
1320                                              1.662880429947043                                 -0.7053864610497603
1400                                              1.6551239094522345                                -0.6767235049738255
1500                                              1.645878051179426                                 -0.6450718243924728
1600                                              1.637107307865047                                 -0.6172355952851775
1700                                              1.6287837150208913                                -0.5925327069978396
1800                                              1.6208791020064393                                -0.5704361156032955
1900                                              1.6133660046211018                                -0.5505321139511072
2000                                              1.6062181899646037                                -0.5324913623643378
2120                                              1.5980882859510834                                -0.5129317109318631
2240                                              1.5904092392717368                                -0.4953076699071332
2360                                              1.5831448130160906                                -0.47932725986526187
2500                                              1.5751498714932866                                -0.46244996083444445
2650                                              1.5671070181142233                                -0.4461581239601859
2800                                              1.5595551556098568                                -0.4314350161651755
3000                                              1.5501719572562496                                -0.4138495766400748
3150                                              1.5435979206909844                                -0.40195931358089226
3350                                              1.53538523910756                                  -0.38756404656971677
3550                                              1.527740009068823                                 -0.37458851219472133
3750                                              1.5206015475676047                                -0.36281640462961495
4000                                              1.5123121604432674                                -0.3495329186447655
4250                                              1.5046464652573255                                -0.3375929539085157
4500                                              1.497531351867984                                 -0.32678623560495385
4750                                              1.4909049311269342                                -0.316945544186967
5000                                              1.4847144659856786                                -0.3079360676179243
