% Model:              materials_data.mph
% Version:            COMSOL 6.2.0.232
% Date:               Aug 30 2023, 09:29
% Table:              Evaluation Group: Admittance Ceiling - 
% freq (Hz)                                       real(Y) (m^2*s/kg)                                imag(Y) (m^2*s/kg)                                Absorption coefficient (based on R) (1)
50                                                2.531774409290199E-6                              5.9531904955164356E-5                             0.004172778890540796
100                                               7.624399018678057E-6                              1.1692822307154414E-4                             0.012510961877069127
150                                               1.3867174936282157E-5                             1.7265005024123505E-4                             0.022599624720539335
200                                               2.0821062821314478E-5                             2.2717144465958102E-4                             0.0336440598247304
250                                               2.8301322223250698E-5                             2.808350805970665E-4                              0.04527683494873458
300                                               3.622885485039154E-5                              3.338969341570223E-4                              0.057308537163972995
350                                               4.457633597333746E-5                              3.8655548460231126E-4                             0.06963755732203758
400                                               5.334455000754468E-5                              4.389698735902409E-4                              0.08220990691150376
450                                               6.255082828703716E-5                              4.912715189406144E-4                              0.09499803419873554
500                                               7.222302278479302E-5                              5.435717952940686E-4                              0.10798792403316348
550                                               8.239624923661754E-5                              5.959672701144557E-4                              0.12117086644497954
600                                               9.311111084689068E-5                              6.485433670254559E-4                              0.1345388254930775
650                                               1.044127568250309E-4                              7.013769847105334E-4                              0.14808284133054228
700                                               1.1635043397284529E-4                             7.545384016039054E-4                              0.1617935452263155
750                                               1.2897734278112841E-4                             8.080926786020161E-4                              0.17566246535859964
800                                               1.4235069090340384E-4                             8.621006992827214E-4                              0.18968283524933305
850                                               1.565318819514105E-4                              9.16619940773216E-4                               0.20384917951336712
900                                               1.7158680329731944E-4                             9.717050379460788E-4                              0.21815578425689186
950                                               1.8758619153036882E-4                             0.0010274081831005942                             0.2325948396231602
1000                                              2.0460606304707838E-4                             0.0010837793892368257                             0.24715523319800037
1050                                              2.227282026444989E-4                              0.0011408666352691946                             0.26182260917417055
1100                                              2.420407065389573E-4                              0.0011987159045350135                             0.2765806204776373
1150                                              2.6263857881529256E-4                             0.0012573711225458627                             0.2914126808860099
1200                                              2.84624382226108E-4                               0.0013168739952427407                             0.30630330442898024
1250                                              3.0810894545919496E-4                             0.001377263744552651                              0.32123839815056643
1300                                              3.3321212929059466E-4                             0.0014385767336798727                             0.33620447515422214
1350                                              3.6006365340801957E-4                             0.0015008459704704752                             0.3511873372387233
1400                                              3.888039843337179E-4                              0.0015641004735557741                             0.36617102829859327
1450                                              4.195852831990073E-4                              0.001628364482797977                              0.3811376643202342
1500                                              4.525724104656422E-4                              0.0016936564924695857                             0.39606823478896314
