% Model:              materials_data.mph
% Version:            COMSOL 6.2.0.232
% Date:               Aug 30 2023, 09:29
% Table:              Evaluation Group: Admittance Carpet - 
% freq (Hz)                                       real(Y) (m^2*s/kg)                                imag(Y) (m^2*s/kg)                                Absorption coefficient (based on R) (1)
50                                                8.119139508747785E-9                              1.8420093656198322E-5                             1.90692670484216E-5
100                                               3.717770985127886E-8                              3.685387185616222E-5                              8.35182696750092E-5
150                                               9.271287503660073E-8                              5.530894901254245E-5                              2.063658833355575E-4
200                                               1.790454941068848E-7                              7.379128364347917E-5                              3.951135945624573E-4
250                                               2.9991568338037985E-7                             9.230611530485011E-5                              6.549851500053938E-4
300                                               4.5872191538342315E-7                             1.1085824489787309E-4                             9.8970528097031E-4
350                                               6.586419574386581E-7                              1.2945217084788852E-4                             0.001402529056096835
400                                               9.027050154347613E-7                              1.4809216838102652E-4                             0.0018971970648840042
450                                               1.1938393019870135E-6                             1.667823408080429E-4                              0.0024784131886848026
500                                               1.534905690236811E-6                              1.8552665515799875E-4                             0.003151647434975313
550                                               1.9287228694200946E-6                             2.043289682438766E-4                              0.00392239940004957
600                                               2.3780870140180916E-6                             2.2319304643931661E-4                             0.004795330605162795
650                                               2.8857877200028523E-6                             2.4212258106198897E-4                             0.005773738076760848
700                                               3.4546212487305633E-6                             2.61121200555894E-4                               0.00685965941649469
750                                               4.087401723273256E-6                              2.8019248031484423E-4                             0.008054564159011846
800                                               4.786970739624717E-6                              2.9933995079843036E-4                             0.009360272499675526
850                                               5.5562057997379705E-6                             3.185671044403311E-4                              0.010779617154336396
900                                               6.398027957347013E-6                              3.378774016748212E-4                              0.012316495873527344
950                                               7.315409011327482E-6                              3.572742762182628E-4                              0.013975284555328815
1000                                              8.311378451182836E-6                              3.76761139593751E-4                               0.015759924084125965
1050                                              9.389030184480808E-6                              3.963413848411428E-4                              0.017673173368403683
1100                                              1.055152893533418E-5                              4.160183894324368E-4                              0.019716436226379974
1150                                              1.1802116176850725E-5                             4.357955175642585E-4                              0.02189026119705695
1200                                              1.3144115574764704E-5                             4.556761221239736E-4                              0.024195244875557798
1250                                              1.4580938116913837E-5                             4.756635466222669E-4                              0.026632842288773384
1300                                              1.6116087262063203E-5                             4.957611272207794E-4                              0.029205631443589786
1350                                              1.775316444310677E-5                              5.159721947266469E-4                              0.031916876437395936
1400                                              1.9495875067323726E-5                             5.363000762219743E-4                              0.03476962535199657
1450                                              2.134803485411972E-5                              5.567480959844299E-4                              0.03776584760831192
1500                                              2.3313576112797817E-5                             5.773195755774478E-4                              0.040906104184215364
