% Model:              materials_data.mph
% Version:            COMSOL 6.2.0.232
% Date:               Aug 30 2023, 09:30
% Table:              Evaluation Group: Admittance Sofa - 
% freq (Hz)                                       real(Y) (m^2*s/kg)                                imag(Y) (m^2*s/kg)                                Absorption coefficient (based on R) (1)
50                                                1.909805459959738E-6                              8.179900247864578E-5                              0.003147089180243645
100                                               7.648312635091747E-6                              1.635357580232257E-4                              0.01252216412544449
150                                               1.7243368927585324E-5                             2.451450863229999E-4                              0.027871541407615052
200                                               3.0741075397143054E-5                             3.2655568874997233E-4                             0.0487858944925621
250                                               4.820541587737866E-5                              4.0768703290401686E-4                             0.07472721136194427
300                                               6.971764793638202E-5                              4.884460823765251E-4                              0.10506316812917926
350                                               9.537543646573641E-5                              5.687238670881008E-4                              0.13910374700966888
400                                               1.2529166703626615E-4                             6.483918676752342E-4                              0.17613551051276688
450                                               1.5959285910673355E-4                             7.272981965317736E-4                              0.21545078212702395
500                                               1.9841708175635678E-4                             8.05263571711828E-4                               0.2563709855558969
550                                               2.4191125667861118E-4                             8.820770986409453E-4                              0.2982646247507913
600                                               2.902277154675045E-4                              9.574918998052837E-4                              0.3405605988833371
650                                               3.435198621810418E-4                              0.0010312206657530714                             0.38275715183494996
700                                               4.019367799268185E-4                              0.0011029312432084284                             0.42442639456030784
750                                               4.6561661472461314E-4                             0.0011722424289469199                             0.4652144169012641
800                                               5.346785750006819E-4                              0.001238720201896678                              0.504837500083855
850                                               6.092134056529959E-4                              0.0013018747004769939                             0.5430755219895749
900                                               6.892722377591635E-4                              0.0013611583358527422                             0.5797639558917282
950                                               7.748537858146813E-4                              0.0014159655207363815                             0.6147857396535661
1000                                              8.658899715579995E-4                              0.0014656345805181769                             0.648063831110987
1050                                              9.622302039927315E-4                              0.0015094524874450824                             0.6795547150020542
1100                                              0.0010636247436318184                             0.0015466631028567687                             0.7092427278654744
1150                                              0.0011697078245734992                             0.0015764796056400912                             0.7371349325990484
1200                                              0.0012799814918070115                             0.0015981017016982787                             0.7632563641830585
1250                                              0.0013938014126878787                             0.0016107380227781578                             0.7876456490966653
1300                                              0.0015103662062592653                             0.0016136338103717581                             0.8103511365463407
1350                                              0.001628712052344081                              0.001606103528802791                              0.8314276977229458
1400                                              0.0017477144313586452                             0.0015875674670895235                             0.8509342602815959
1450                                              0.0018660987365831999                             0.001557590705804943                              0.8689320144064728
1500                                              0.0019824611305085792                             0.0015159221120123933                             0.8854831271769584
