% Model:              materials_data.mph
% Version:            COMSOL 6.2.0.232
% Date:               Aug 30 2023, 09:30
% Table:              Evaluation Group: Admittance Wall - 
% freq (Hz)                                       real(Y) (m^2*s/kg)                                imag(Y) (m^2*s/kg)                                Absorption coefficient (based on R) (1)
50                                                1.0791125450848596E-5                             6.0933868535543684E-5                             0.017670094537486247
100                                               3.95339544687945E-5                               1.1164932621147638E-4                             0.06315938139425126
150                                               7.801423171976457E-5                              1.4695025527641786E-4                             0.12067251309789584
200                                               1.1831985318878445E-4                             1.6726211894976115E-4                             0.1771125435881229
250                                               1.5549880530194563E-4                             1.7600303574117672E-4                             0.22603869292345546
300                                               1.8749175436253785E-4                             1.7702665093256197E-4                             0.2659345141254832
350                                               2.140293092381329E-4                              1.7342417159578078E-4                             0.2975933116912547
400                                               2.3565955282244495E-4                             1.6731654747268614E-4                             0.3224977128237584
450                                               2.531792634688229E-4                              1.6003771707270685E-4                             0.34211220431727907
500                                               2.6737127373508665E-4                             1.5238025387142917E-4                             0.35765823326604473
550                                               2.7890969337312707E-4                             1.447929359747002E-4                              0.3700875871145659
600                                               2.8834195654632106E-4                             1.3751557276817466E-4                             0.38012052078470693
650                                               2.961005389274347E-4                              1.3066445259704432E-4                             0.3882962149122895
700                                               3.0252302830034E-4                                1.242845290988091E-4                              0.3950182001884457
750                                               3.078720251854635E-4                              1.1838066926338259E-4                             0.40059058336644093
800                                               3.1235207147670233E-4                             1.1293613799868091E-4                             0.40524523748080143
850                                               3.1612314156563006E-4                             1.0792342076024833E-4                             0.4091613076714936
900                                               3.193110649903428E-4                              1.0331047931874049E-4                             0.41247866194946337
950                                               3.220154617990265E-4                              9.906429521229482E-5                              0.41530697215362533
1000                                              3.243157497568359E-4                              9.515280727572514E-5                              0.4177320308208228
1050                                              3.262756889854309E-4                              9.154590312369468E-5                              0.41982062998973435
1100                                              3.2794682815695623E-4                             8.821585876439099E-5                              0.4216248428205658
1150                                              3.2937112851477333E-4                             8.513746220449986E-5                              0.42318597517035617
1200                                              3.305829723933987E-4                              8.228796215016723E-5                              0.42453798478706417
1250                                              3.316107099893275E-4                              7.964692578383939E-5                              0.42570997114159614
1300                                              3.324778585765742E-4                              7.719605488385355E-5                              0.4267274727409699
1350                                              3.3320403888690653E-4                             7.491898839236073E-5                              0.427612672360385
1400                                              3.338057113747695E-4                              7.280110679551294E-5                              0.42838399510742053
1450                                              3.3429675872019126E-4                             7.082934630811288E-5                              0.4290557720873166
1500                                              3.3468894895276487E-4                             6.899202688560444E-5                              0.42963851725477664
