# COMSOL wave_based_room listening point golden
# table,tbl1
# expression,pate.p_t and pate.p_t/(1[m/s]*pate.Z)
# pressure_unit,Pa
# normalized_unit,1
# receiver_point_ids,122,121,53,35
# receiver_coordinate_unit,m
# receiver_coordinate,122,1.2,1.3125,1
# receiver_coordinate,121,0.20000000000000001,0.875,1
# receiver_coordinate,53,-0.80000000000000004,0.4375,1
# receiver_coordinate,35,-1.8,0,1
time,p122,p121,p53,p35,pn122,pn121,pn53,pn35
0,0,0,0,0,0,0,0,0
2.3752601073495863e-06,0,0,0,0,0,0,0,0
4.7505202146991727e-06,0,0,0,0,0,0,0,0
7.1257803220487595e-06,0,0,0,0,0,0,0,0
9.5010404293983454e-06,0,0,0,0,0,0,0,0
1.1876300536747931e-05,0,0,0,1.1907813674934969e-35,0,0,0,2.8930548287014019e-38
1.4251560644097517e-05,0,0,0,6.2544007711728841e-33,0,0,0,1.5195337150565804e-35
1.6626820751447105e-05,0,0,3.6338381122322808e-49,2.9463814411282946e-31,0,0,8.8285668421581164e-52,7.1583611300493072e-34
1.9002080858796691e-05,0,0,1.5231299235231594e-46,5.6763620538541604e-30,0,0,3.7005100182778414e-49,1.3790967089052869e-32
2.1377340966146277e-05,0,3.0803181436358494e-65,9.7740666976076532e-45,6.4805792561104489e-29,0,7.4837661410006063e-68,2.3746517729853387e-47,1.5744847561006923e-31
2.3752601073495863e-05,0,2.5703481579701827e-62,2.6870661708977484e-43,5.1788201149312427e-28,0,6.2447720067302794e-65,6.5283434667097875e-46,1.2582167431805742e-30
2.6127861180845449e-05,4.8931022484082688e-79,2.8361817406224204e-60,4.3747951268378407e-42,3.1778504113196678e-27,1.1888003518970527e-81,6.8906261919883884e-63,1.0628753952472888e-44,7.7207250032061904e-30
2.8503121288195034e-05,3.213724409614309e-76,1.247587891208601e-58,4.9314979083400948e-41,1.5866818360859661e-26,7.8078824334652804e-79,3.0310687347147743e-61,1.1981287435228607e-43,3.8549121382069154e-29
3.087838139554462e-05,4.0314172536691371e-74,3.0997828025254922e-57,4.213216804049008e-40,6.7034494482533432e-26,9.7945025599347359e-77,7.5310563715390967e-60,1.0236192429662315e-42,1.628632033103339e-28
3.325364150289421e-05,2.1613662042035155e-72,5.1496597930354139e-56,2.8913938665244134e-39,2.4641525151352791e-25,5.2511326632738474e-75,1.2511321168696342e-58,7.0247664395636873e-42,5.9867650999399399e-28
3.5628901610243799e-05,6.6775389174778316e-71,6.3088069958846964e-55,1.6590312654121027e-38,8.0457718798786758e-25,1.6223369575990847e-73,1.5327519426347661e-57,4.0306882055687628e-41,1.9547550728568213e-27
3.8004161717593388e-05,1.3861038184465616e-69,6.0711334228390407e-54,8.1931666385885753e-38,2.3705198722110293e-24,3.3675991701811507e-72,1.4750081202232852e-56,1.9905652669068456e-40,5.7592805447303919e-27
4.0379421824942978e-05,2.1197222783292589e-68,4.7941482816555996e-53,3.559306750567607e-37,6.3802510637670463e-24,5.1499569444345457e-71,1.1647590577394558e-55,8.6474896758202311e-40,1.5501095878928685e-26
4.2754681932292567e-05,2.5377214666558765e-67,3.2066393551750999e-52,1.3833066108351002e-36,1.5841324890420356e-23,6.1655040492125286e-70,7.7906689873058802e-55,3.3608032333214294e-39,3.848718389314956e-26
4.5129942039642156e-05,2.4821053626156352e-66,1.8606917442312497e-51,4.8742438529690741e-36,3.656893401162909e-23,6.0303823192799689e-69,4.5206310598426871e-54,1.184218623170329e-38,8.8845806636611016e-26
4.7505202146991746e-05,2.0466170950293048e-65,9.5421839886400006e-51,1.5740029634620683e-35,7.8987184895848912e-23,4.9723447401100702e-68,2.318314866044704e-53,3.8241082688582812e-38,1.9190278157397698e-25
4.9880462254341335e-05,1.4570471457541363e-64,4.3890974466401415e-50,4.6993621834914522e-35,1.604560966535821e-22,3.5399590518807977e-67,1.0663502056948839e-52,1.1417303652797504e-37,3.898350258833385e-25
5.2255722361690924e-05,9.1255166511483724e-64,1.8324883470099925e-49,1.3067033548800961e-34,3.0782544813014103e-22,2.2170837344869713e-66,4.4521096866131985e-52,3.1746923102043156e-37,7.4787523841142139e-25
5.4630982469040513e-05,5.1037794049227835e-63,7.0130667454844448e-49,3.4046415334797914e-34,5.5951666052704176e-22,1.2399852781639417e-65,1.7038548944325671e-51,8.2717238422735464e-37,1.3593699235350869e-24
5.7006242576390103e-05,2.5803437595212013e-62,2.480418267286142e-48,8.3551928005947641e-34,9.6592204353744969e-22,6.2690567529669613e-65,6.0262834482170606e-51,2.0299302236624791e-36,2.3467493769131435e-24
5.9381502683739692e-05,1.1912438567122909e-61,8.1635638201728249e-48,1.9396542279123778e-33,1.5863782838337235e-21,2.8941784662592106e-64,1.9833731341527758e-50,4.712473828747274e-36,3.8541746448827107e-24
6.1756762791089281e-05,5.0645106637031274e-61,2.5148366324494816e-47,4.2754382193520718e-33,2.4805817230046859e-21,1.2304447676635394e-63,6.1099043548335325e-50,1.0387362048960331e-35,6.0266805709540479e-24
6.4132022898438871e-05,1.9971148019248802e-60,7.2876054923476933e-47,8.9760791367081577e-33,3.6922932761049638e-21,4.8520767782431496e-63,1.7705552702496827e-49,2.1807772440981922e-35,8.9705861907312048e-24
6.650728300578846e-05,7.3495613687054063e-60,1.9951295261209544e-46,1.79965831971736e-32,5.2237848810722267e-21,1.7856077183443652e-62,4.8472534648225334e-49,4.3723477155426632e-35,1.2691411275685682e-23
6.8882543113138049e-05,2.5375192769300524e-59,5.1793979371438099e-46,3.4533978316722823e-32,7.0009270381919283e-21,6.1650128205297688e-62,1.2583571275859597e-48,8.3901793772407252e-35,1.7009055000466301e-23
7.1257803220487639e-05,8.2573401774834586e-59,1.279093854002016e-45,6.3538089846002118e-32,8.8312126521388507e-21,2.006156505705408e-61,3.1076138338241403e-48,1.5436853704082147e-34,2.1455813051843661e-23
7.3633063327837228e-05,2.5426923897516399e-58,3.0133159883295186e-45,1.122428143804348e-31,1.0360259420622869e-20,6.1775811218455785e-61,7.3209815071173932e-48,2.7269877157540044e-34,2.5170698300833017e-23
7.6008323435186817e-05,7.4352582338650005e-58,6.7880261920371046e-45,1.9056857137060025e-31,1.1036066469603641e-20,1.8064281423384356e-60,1.6491803187650887e-47,4.6299458544849435e-34,2.6812600752195436e-23
7.8383583542536407e-05,2.0710456823101555e-57,1.4651630556953718e-44,3.1114058938472773e-31,1.0093862725152453e-20,5.0316950493444018e-60,3.5596770060626139e-47,7.5592951745560675e-34,2.452347600863084e-23
8.0758843649885996e-05,5.5100996537889375e-57,3.0354282420645415e-44,4.885453503263971e-31,6.5768622897741432e-21,1.3387025397932309e-59,7.3747041838302762e-47,1.1869420561865821e-33,1.5978771355136404e-23
8.3134103757235585e-05,1.403628224115974e-56,6.0445067117849024e-44,7.3733269028528272e-31,-5.9141699734943207e-22,3.4101754716131536e-59,1.4685390456231543e-46,1.7913816576416004e-33,-1.4368731714028963e-24
8.5509363864585175e-05,3.4307751339645053e-56,1.1582246655281744e-43,1.0682033683100617e-30,-1.2470420223755552e-20,8.3352165548214424e-59,2.8139569133337574e-46,2.5952462786930559e-33,-3.0297425227783169e-23
8.7884623971934764e-05,8.0611175581165318e-56,2.1372953669782782e-43,1.4818561237962435e-30,-2.9895235980412762e-20,1.9584833717484286e-58,5.1926515232708413e-46,3.6002335369199311e-33,-7.2631768659894961e-23
9.0259884079284353e-05,1.8237990447403108e-55,3.7999493603634556e-43,1.9601687832682903e-30,-5.3203281428434721e-20,4.430998650972573e-58,9.2321413031182117e-46,4.7623148281542528e-33,-1.292596730525625e-22
9.2635144186633942e-05,3.9788844981243423e-55,6.5097707540076849e-43,2.4548175233534004e-30,-8.1913899022639192e-20,9.666871958513952e-58,1.5815769567559973e-45,5.9640853337060263e-33,-1.9901336011331194e-22
9.5010404293983532e-05,8.3807968442878929e-55,1.0741277271472086e-42,2.8741402974627702e-30,-1.1439626394439789e-19,2.0361508368046387e-57,2.6096397646919548e-45,6.9828481473828244e-33,-2.7793067041884813e-22
